Stat,btcusd,ethusd,bnbusd,solusd
Start,2020-12-31,2020-12-31,2020-12-31,2020-12-31
End,2022-07-16,2022-07-16,2022-07-16,2022-07-16
Risk-free rate,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,-28.75%,64.58%,533.62%,2343.13%
Daily Sharpe,0.08,0.69,1.28,1.77
Daily Sortino,0.14,1.16,2.54,3.40
CAGR,-19.78%,38.24%,231.99%,698.07%
Max Drawdown,-71.85%,-79.35%,-70.84%,-89.11%
Calmar Ratio,-0.28,0.48,3.27,7.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,4.44%,13.77%,7.99%,9.90%
3m,-48.89%,-60.35%,-43.27%,-63.90%
6m,-52.07%,-63.76%,-52.49%,-75.03%
YTD,-55.38%,-67.03%,-53.72%,-78.32%
1Y,-34.24%,-35.43%,-21.84%,39.98%
3Y (ann.),-19.78%,38.24%,231.99%,698.07%
5Y (ann.),-,-,-,-
10Y (ann.),-,-,-,-
Since Incep. (ann.),-19.78%,38.24%,231.99%,698.07%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Sharpe,0.08,0.69,1.28,1.77
Daily Sortino,0.14,1.16,2.54,3.40
Daily Mean (ann.),5.21%,57.57%,136.09%,220.70%
Daily Vol (ann.),63.94%,83.72%,106.65%,124.82%
Daily Skew,0.07,0.01,2.31,0.39
Daily Kurt,2.02,3.21,23.38,2.61
Best Day,18.75%,25.95%,69.76%,35.70%
Worst Day,-15.97%,-27.20%,-33.27%,-37.21%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Sharpe,0.09,0.77,0.98,1.56
Monthly Sortino,0.17,1.77,6.82,7.89
Monthly Mean (ann.),7.12%,81.71%,309.71%,434.37%
Monthly Vol (ann.),76.48%,106.35%,314.69%,277.92%
Monthly Skew,0.11,0.50,3.44,1.27
Monthly Kurt,-0.54,0.14,13.16,0.42
Best Month,40.03%,78.23%,373.34%,206.96%
Worst Month,-37.77%,-45.05%,-43.22%,-46.22%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Sharpe,0.03,0.50,0.65,0.70
Yearly Sortino,0.05,3.50,16.00,100.15
Yearly Mean,2.14%,166.05%,607.68%,5546.53%
Yearly Vol,81.35%,329.63%,935.36%,7954.74%
Yearly Skew,-,-,-,-
Yearly Kurt,-,-,-,-
Best Year,59.67%,399.13%,1269.08%,11171.38%
Worst Year,-55.38%,-67.03%,-53.72%,-78.32%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg. Drawdown,-17.47%,-12.91%,-13.43%,-14.67%
Avg. Drawdown Days,44.92,24.48,37.71,17.64
Avg. Up Month,19.47%,27.13%,60.71%,72.90%
Avg. Down Month,-16.40%,-21.14%,-22.18%,-26.73%
Win Year %,50.00%,50.00%,50.00%,50.00%
Win 12m %,33.33%,66.67%,66.67%,77.78%