kind,domain,title,published_at,slug,currencies,id,url,created_at,votes.negative,votes.positive,votes.important,votes.liked,votes.disliked,votes.lol,votes.toxic,votes.saved,votes.comments,source.title,source.region,source.domain,source.path
media,youtube.com,"BE VERY CAREFUL Bitcoin & Crypto Holders | Fantom, Terra Luna, Anchor Protocol Updates",2022-03-10T01:00:00Z,BE-VERY-CAREFUL-Bitcoin-Crypto-Holders-Fantom-Terra-Luna-Anchor-Protocol-Updates,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'LUNA', 'title': 'Terra', 'slug': 'luna-terra', 'url': 'https://cryptopanic.com/news/luna-terra/'}, {'code': 'LUNA', 'title': 'Terra', 'slug': 'terra-luna', 'url': 'https://cryptopanic.com/news/terra-luna/'}, {'code': 'ANC', 'title': 'Anchor Protocol', 'slug': 'anchor-protocol', 'url': 'https://cryptopanic.com/news/anchor-protocol/'}]",14524125,https://cryptopanic.com/news/14524125/BE-VERY-CAREFUL-Bitcoin-Crypto-Holders-Fantom-Terra-Luna-Anchor-Protocol-Updates,2022-03-10T01:00:00Z,0,0,0,1,0,0,0,0,0,Altcoin Buzz,en,youtube.com,
media,youtube.com,The Utterly Insane State Of Crypto In 2022! Have We Seen The Worst?,2022-03-10T00:03:35Z,THE-UTTERLY-INSANE-STATE-OF-CRYPTO-IN-2022-HAVE-WE-SEEN-THE-WORST,,14524041,https://cryptopanic.com/news/14524041/THE-UTTERLY-INSANE-STATE-OF-CRYPTO-IN-2022-HAVE-WE-SEEN-THE-WORST,2022-03-10T00:03:35Z,0,0,0,0,0,0,0,0,0,FUD TV,en,youtube.com,
media,youtube.com,USA To Mine Over 50% Of Bitcoin By Next Year?,2022-03-09T23:13:52Z,USA-To-Mine-Over-50-Of-Bitcoin-By-Next-Year,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",14523926,https://cryptopanic.com/news/14523926/USA-To-Mine-Over-50-Of-Bitcoin-By-Next-Year,2022-03-09T23:13:52Z,0,0,0,1,0,0,0,0,0,Anthony Pompliano,en,youtube.com,
media,youtube.com,You're Wrong About Biden's Executive Order For Crypto,2022-03-09T22:57:49Z,Youre-Wrong-About-Bidens-Executive-Order-For-Crypto,,14523826,https://cryptopanic.com/news/14523826/Youre-Wrong-About-Bidens-Executive-Order-For-Crypto,2022-03-09T22:57:49Z,0,0,0,1,1,0,0,0,2,Ready Set Crypto,en,youtube.com,
media,youtube.com,How To Prepare For A Recession,2022-03-09T22:15:42Z,How-To-Prepare-For-A-Recession,,14523819,https://cryptopanic.com/news/14523819/How-To-Prepare-For-A-Recession,2022-03-09T22:15:42Z,0,0,0,0,0,0,0,0,0,Anthony Pompliano,en,youtube.com,
media,youtube.com,Deep Dive: Bitcoin Magazine LIVE #50,2022-03-09T21:53:42Z,Deep-Dive-Bitcoin-Magazine-LIVE-50,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",14486740,https://cryptopanic.com/news/14486740/Deep-Dive-Bitcoin-Magazine-LIVE-50,2022-03-09T21:53:42Z,0,0,0,0,0,0,0,0,0,Bitcoin Magazine,en,youtube.com,
media,youtube.com,US Government Wants To Be THE Bitcoin Leader,2022-03-09T21:09:28Z,US-Government-Wants-To-Be-THE-Bitcoin-Leader,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",14523648,https://cryptopanic.com/news/14523648/US-Government-Wants-To-Be-THE-Bitcoin-Leader,2022-03-09T21:09:28Z,0,1,0,1,0,0,0,0,0,Anthony Pompliano,en,youtube.com,
media,unhashedpodcast.com,Ruben Somsen on the Stewart Mackenzie Indaba Pt. 3,2022-03-09T20:05:51Z,Ruben-Somsen-on-the-Stewart-Mackenzie-Indaba-Pt-3,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",14523447,https://cryptopanic.com/news/14523447/Ruben-Somsen-on-the-Stewart-Mackenzie-Indaba-Pt-3,2022-03-09T20:05:51Z,0,0,0,0,0,0,0,0,0,Unhashed Podcast,en,unhashedpodcast.com,
media,unhashedpodcast.com,Ruben Somsen on the Stewart Mackenzie Indaba Pt. 2,2022-03-09T20:04:30Z,Ruben-Somsen-on-the-Stewart-Mackenzie-Indaba-Pt-2,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",14523448,https://cryptopanic.com/news/14523448/Ruben-Somsen-on-the-Stewart-Mackenzie-Indaba-Pt-2,2022-03-09T20:04:30Z,0,0,0,0,0,0,0,0,0,Unhashed Podcast,en,unhashedpodcast.com,
media,youtube.com,Usa Will Not Ban Bitcoin!,2022-03-09T20:03:08Z,USA-WILL-NOT-BAN-BITCOIN,,14523475,https://cryptopanic.com/news/14523475/USA-WILL-NOT-BAN-BITCOIN,2022-03-09T20:03:08Z,0,0,0,1,0,0,0,0,0,Anthony Pompliano,en,youtube.com,
media,unhashedpodcast.com,Ruben Somsen on the Stewart Mackenzie Indaba Pt. 1,2022-03-09T20:01:58Z,Ruben-Somsen-on-the-Stewart-Mackenzie-Indaba-Pt-1,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",14523449,https://cryptopanic.com/news/14523449/Ruben-Somsen-on-the-Stewart-Mackenzie-Indaba-Pt-1,2022-03-09T20:01:58Z,0,0,0,0,0,0,0,0,0,Unhashed Podcast,en,unhashedpodcast.com,
media,youtube.com,How To Exit The War With Bitcoin,2022-03-09T19:42:33Z,How-To-Exit-The-War-With-Bitcoin,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",14523394,https://cryptopanic.com/news/14523394/How-To-Exit-The-War-With-Bitcoin,2022-03-09T19:42:33Z,0,0,0,0,0,0,0,0,0,Bitcoin Magazine,en,youtube.com,
media,youtube.com,Is Bitcoin MORE stable than STABLECOINS?! (USDT STRATEGY) | Market Update,2022-03-09T19:18:54Z,Is-Bitcoin-MORE-stable-than-STABLECOINS-USDT-STRATEGY-Market-Update,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",14523179,https://cryptopanic.com/news/14523179/Is-Bitcoin-MORE-stable-than-STABLECOINS-USDT-STRATEGY-Market-Update,2022-03-09T19:18:54Z,1,1,0,1,0,0,0,0,0,Ian Balina,en,youtube.com,
media,youtube.com,It's The Biggest Opportunity IN HISTORY!,2022-03-09T19:15:00Z,Its-The-Biggest-Opportunity-IN-HISTORY,,14523289,https://cryptopanic.com/news/14523289/Its-The-Biggest-Opportunity-IN-HISTORY,2022-03-09T19:15:00Z,0,1,0,0,0,0,0,0,0,Bitcoin Magazine,en,youtube.com,
media,youtube.com,How Much Do People Really Know About Bitcoin?,2022-03-09T19:05:55Z,How-Much-Do-People-Really-Know-About-Bitcoin,,14523263,https://cryptopanic.com/news/14523263/How-Much-Do-People-Really-Know-About-Bitcoin,2022-03-09T19:05:55Z,0,1,1,0,0,0,0,0,0,Bitcoin Magazine,en,youtube.com,
media,youtube.com,Whale Night at Bitcoin 2022,2022-03-09T19:00:15Z,Whale-Night-at-Bitcoin-2022,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",14523264,https://cryptopanic.com/news/14523264/Whale-Night-at-Bitcoin-2022,2022-03-09T19:00:15Z,0,0,0,0,0,0,0,0,0,Bitcoin Magazine,en,youtube.com,
media,youtube.com,Bitcoin Bulls Awaken!  - Technical Analysis & Discussion,2022-03-09T18:51:35Z,Bitcoin-Bulls-Awaken-Technical-Analysis-Discussion,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",14522719,https://cryptopanic.com/news/14522719/Bitcoin-Bulls-Awaken-Technical-Analysis-Discussion,2022-03-09T18:51:35Z,1,2,0,2,0,0,0,0,1,TheChartGuys,en,youtube.com,
media,youtube.com,BULLISH BIT: The Kinetic Overton Window of Bitcoin Adoption ðŸªŸ,2022-03-09T18:00:37Z,BULLISH-BIT-The-Kinetic-Overton-Window-of-Bitcoin-Adoption,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",14523094,https://cryptopanic.com/news/14523094/BULLISH-BIT-The-Kinetic-Overton-Window-of-Bitcoin-Adoption,2022-03-09T18:00:37Z,0,0,0,0,0,0,0,0,0,BTC Sessions,en,youtube.com,
media,youtube.com,My favorite NEW Crypto Projects of 2022!,2022-03-09T18:00:02Z,My-favorite-NEW-Crypto-Projects-of-2022,"[{'code': 'LUNA', 'title': 'Terra', 'slug': 'luna-terra', 'url': 'https://cryptopanic.com/news/luna-terra/'}, {'code': 'LUNA', 'title': 'Terra', 'slug': 'terra-luna', 'url': 'https://cryptopanic.com/news/terra-luna/'}, {'code': 'RUNE', 'title': 'THORChain', 'slug': 'thorchain', 'url': 'https://cryptopanic.com/news/thorchain/'}]",14523102,https://cryptopanic.com/news/14523102/My-favorite-NEW-Crypto-Projects-of-2022,2022-03-09T18:00:02Z,0,0,0,1,0,0,0,0,0,Crypto Tips,en,youtube.com,
media,blockworksgroup.io,#853 The Insiders Are Yelling Warning Signs,2022-03-09T16:55:00Z,853-The-Insiders-Are-Yelling-Warning-Signs,,14522825,https://cryptopanic.com/news/14522825/853-The-Insiders-Are-Yelling-Warning-Signs,2022-03-09T16:55:00Z,0,2,1,2,0,0,0,0,0,Off the Chain,en,blockworksgroup.io,
